Pluton,"Pluton est une planete naine, avec un rayon de 118 kilometres et située à 4 milliards et 800 millions de kilometres de la Terre. Elle fait le tour du Soleil en 248 ans"
Neptune,"Neptune est une planete gazeuse, avec un rayon de 24622 kilometres et située à 4 milliard et 352 millions de kilometres de la Terre. Elle fait le tour du Soleil en 164,8 ans"
Uranus,"Uranus est une planete gazeuse, avec un rayon de 25362 kilometres et située à 2 milliards et 724 millions de kilometres de la Terre. Elle fait le tour du Soleil en 84 ans"
Saturne,"Saturne est une planete gazeuse, avec un rayon de 58232 kilometres et située à 1 milliards et 275 millions de kilometres de la Terre. Elle fait le tour du Soleil en 29,46 ans"
Jupiter,"Jupiter est une planete gazeuse, avec un rayon de 69911 kilometres et située à 629 millions de kilometres de la Terre. Elle fait le tour du Soleil en 11,86 ans"
Mars,"Mars est une planete rocheuse, avec un rayon de 3389 kilometres et située à 78,5 millions de kilometres de la Terre. Elle fait le tour du Soleil en 1,88 ans"
Soleil,"Le soleil est l'étoile centrale de notre systeme solaire. Il possede un rayon de 696340 kilometres et se situe à 150 millions de kilometres de la Terre"
Mercure,"Mercure est une planete rocheuse, avec un rayon de 2439 kilometres et située à 92 millions de  kilometres de la Terre. Elle fait le tour du Soleil en 0,24 ans"
Vénus,"Vénus est une planete rocheuse, avec un rayon de 6051 kilometres et située à 41400000 kilometres de la Terre. Elle fait le tour du Soleil en 0,62 ans"
Lune,"La lune est un satellite naturel de la Terre. Elle mesure 1737 kilometres de rayon et se situe à 384400 kilometres de la Terre. Elle fait le tour de la terre en 29 jours et 12 heures"
